OCCUPATION,FEMALE
rag & bone,3170
rag & bone,3189
rag & bone,3210
rag & bone,3239
rag & bone,3240
rag & bone,3250
rag & bone,3336
rag & bone,3361
rag & bone,3362
rag & bone,3382
rag & bone,3436
rag & bone,3455
rag & bone,3470
rag & bone,3574
rag & bone,3575
rag & bone,3605
rag & bone,3623
rag & bone,3669
rag & bone,3784
rag & bone,3791
rag & bone,3798
rag & bone,3802
rag & bone,3806
rag & bone,3841
rag & bone,3947
rag & bone,3977
rag gatherer,161
rag gatherer,1284
rag picker,3141
rag picker,3200
rag picker,3375
rag picker,3421
rag picker,3567
rag picker,3636
school teacher,101
school teacher,411
school teacher,864
school teacher,1518
school teacher,1801
school teacher,1970
school teacher,1995
school teacher,2196
school teacher,2265
school teacher,3693
scourer,1097
sells pepper pot,2794
sells pepper pot,3638
sells pepper pot,4248
service,8
service,100
service,116
service,125
service,138
service,197
service,202
service,222
service,228
service,237
service,239
service,251
service,257
service,265
service,274
service,276
service,281
service,287
service,291
service,300
service,327
service,335
service,369
service,401
service,439
service,445
service,455
service,458
service,486
service,495
service,540
service,549
service,588
service,589
service,590
service,591
service,618
service,649
service,653
service,660
service,663
service,666
service,669
service,725
service,727
service,752
service,758
service,761
service,762
service,771
service,775
service,778
service,784
service,786
service,798
service,810
service,814
service,816
service,817
service,829
service,837
service,838
service,851
service,854
service,863
service,890
service,894
service,897
service,903
service,920
service,959
service,964
service,978
service,984
service,994
service,999
service,1028
service,1031
service,1043
service,1044
service,1061
service,1065
service,1101
service,1111
service,1119
service,1121
service,1152
service,1153
service,1160
service,1161
service,1162
service,1163
service,1169
service,1171
service,1223
service,1233
service,1323
service,1324
service,1345
service,1346
service,1377
service,1423
service,1435
service,1456
service,1503
service,1504
service,1552
service,1563
service,1716
service,1766
service,1768
service,1882
service,1900
service,1941
service,2629
service,4111
sewing,131
sewing,2546
sewing,2553
sewing,2559
sewing,2614
sewing,2632
sewing,2664
sewing,2690
sewing,2708
sewing,2811
sewing,2986
sewing,3001
sewing,3110
sewing,3124
sewing,3232
sewing,3431
sewing,3532
sewing,3601
sewing,3685
sewing,3707
sewing,3797
sewing,3820
sewing,3870
sewing,3889
sewing,3890
sewing,3996
sewing,4063
sewing,4065
sewing,4078
sewing,4114
sewing,4224
sewing,4251
shop keeper,20
shop keeper,407
shop keeper,469
shop keeper,572
shop keeper,667
shop keeper,668
shop keeper,756
shop keeper,759
shop keeper,869
shop keeper,965
shop keeper,974
shop keeper,1095
shop keeper,1106
shop keeper,1315
shop keeper,1582
shop keeper,1603
shop keeper,1645
shop keeper,1661
shop keeper,1782
shop keeper,1784
shop keeper,1796
shop keeper,1958
shop keeper,1978
shop keeper,2002
shop keeper,2317
shop keeper,3370
shop keeper,3801
shop keeper,3813
teacher,127
teacher,2446
traveling preacher,2186
various,185
various,227
various,527
various,548
various,609
various,931
various,941
various,972
various,1212
various,1275
various,1279
various,1294
various,1309
various,1379
various,1452
various,2271
waiter,1839
washer,0
washer,1
washer,2
washer,6
washer,12
washer,13
washer,14
washer,15
washer,16
washer,17
washer,19
washer,21
washer,25
washer,26
washer,32
washer,33
washer,35
washer,36
washer,37
washer,42
washer,43
washer,44
washer,45
washer,48
washer,53
washer,55
washer,62
washer,64
washer,67
washer,71
washer,83
washer,85
washer,86
washer,87
washer,91
washer,94
washer,95
washer,106
washer,115
washer,120
washer,131
washer,134
washer,137
washer,142
washer,146
washer,148
washer,149
washer,150
washer,151
washer,152
washer,157
washer,159
washer,165
washer,166
washer,167
washer,175
washer,178
washer,180
washer,181
washer,182
washer,187
washer,188
washer,189
washer,190
washer,193
washer,194
washer,198
washer,199
washer,205
washer,206
washer,211
washer,215
washer,216
washer,217
washer,220
washer,221
washer,224
washer,225
washer,226
washer,229
washer,230
washer,231
washer,232
washer,234
washer,236
washer,238
washer,247
washer,248
washer,260
washer,264
washer,266
washer,267
washer,269
washer,270
washer,271
washer,272
washer,275
washer,283
washer,285
washer,288
washer,289
washer,292
washer,293
washer,295
washer,296
washer,301
washer,304
washer,307
washer,308
washer,309
washer,313
washer,314
washer,316
washer,317
washer,318
washer,326
washer,329
washer,331
washer,333
washer,362
washer,371
washer,373
washer,382
washer,384
washer,385
washer,396
washer,409
washer,415
washer,417
washer,418
washer,419
washer,420
washer,425
washer,440
washer,444
washer,449
washer,450
washer,453
washer,477
washer,478
washer,482
washer,498
washer,534
washer,538
washer,544
washer,545
washer,567
washer,570
washer,576
washer,580
washer,587
washer,597
washer,598
washer,599
washer,600
washer,604
washer,606
washer,613
washer,616
washer,620
washer,627
washer,631
washer,641
washer,642
washer,643
washer,645
washer,675
washer,676
washer,684
washer,688
washer,694
washer,695
washer,707
washer,709
washer,712
washer,722
washer,731
washer,732
washer,734
washer,739
washer,742
washer,745
washer,753
washer,754
washer,765
washer,772
washer,773
washer,781
washer,782
washer,785
washer,797
washer,799
washer,803
washer,804
washer,805
washer,807
washer,809
washer,811
washer,813
washer,823
washer,826
washer,830
washer,831
washer,832
washer,833
washer,834
washer,836
washer,839
washer,842
washer,848
washer,850
washer,858
washer,860
washer,861
washer,867
washer,870
washer,871
washer,877
washer,878
washer,882
washer,886
washer,887
washer,895
washer,896
washer,912
washer,918
washer,921
washer,922
washer,923
washer,927
washer,932
washer,957
washer,960
washer,975
washer,979
washer,982
washer,985
washer,987
washer,989
washer,995
washer,996
washer,997
washer,1001
washer,1004
washer,1008
washer,1009
washer,1010
washer,1011
washer,1015
washer,1017
washer,1018
washer,1020
washer,1021
washer,1023
washer,1024
washer,1034
washer,1035
washer,1037
washer,1040
washer,1042
washer,1045
washer,1046
washer,1048
washer,1049
washer,1050
washer,1051
washer,1052
washer,1053
washer,1054
washer,1055
washer,1056
washer,1057
washer,1062
washer,1064
washer,1066
washer,1071
washer,1073
washer,1074
washer,1078
washer,1079
